"site","plot","treatment","species","index","colour","seed.count","flower.collect","flower.head","flower.herbivory","flower.total","flower.mult","standard.seed","total.seed","total.seed.int","pH","canopy"
"Bendering","B.Hygl.E1","E","Hypochaeris.glabra",1,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,NA
"Bendering","B.Hygl.E1","E","Hypochaeris.glabra",1,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,NA
"Bendering","B.Hygl.E1","E","Hypochaeris.glabra",1,"B",50,1,15,2,17,17,50,850,850,5.32,NA
"Bendering","B.Hygl.E2","E","Hypochaeris.glabra",2,"R",40,3,6,0,6,6,13.3333333333333,80,80,5.29,NA
"Bendering","B.Hygl.E2","E","Hypochaeris.glabra",2,"G",39,1,17,0,17,17,39,663,663,5.29,NA
"Bendering","B.Hygl.E2","E","Hypochaeris.glabra",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29,NA
"Bendering","B.Hygl.E3","E","Hypochaeris.glabra",3,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12,NA
"Bendering","B.Hygl.E3","E","Hypochaeris.glabra",3,"G",51,1,11,0,11,11,51,561,561,5.12,NA
"Bendering","B.Hygl.E3","E","Hypochaeris.glabra",3,"B",52,1,9,0,9,9,52,468,468,5.12,NA
"Bendering","B.Hygl.E4","E","Hypochaeris.glabra",4,"R",36,1,9,0,9,9,36,324,324,5.44,NA
"Bendering","B.Hygl.E4","E","Hypochaeris.glabra",4,"G",41,1,12,1,13,13,41,533,533,5.44,NA
"Bendering","B.Hygl.E4","E","Hypochaeris.glabra",4,"B",53,1,21,0,21,21,53,1113,1113,5.44,NA
"Bendering","B.Hygl.E5","E","Hypochaeris.glabra",5,"R",67,1,22,2,24,24,67,1608,1608,5.21,NA
"Bendering","B.Hygl.E5","E","Hypochaeris.glabra",5,"G",82,1,9,0,9,9,82,738,738,5.21,NA
"Bendering","B.Hygl.E5","E","Hypochaeris.glabra",5,"B",34,1,3,0,3,3,34,102,102,5.21,NA
"Bendering","B.Hygl.E6","E","Hypochaeris.glabra",6,"R",NA,NA,3,0,3,3,NA,NA,NA,5.29,NA
"Bendering","B.Hygl.E6","E","Hypochaeris.glabra",6,"G",36,1,23,0,23,23,36,828,828,5.29,NA
"Bendering","B.Hygl.E6","E","Hypochaeris.glabra",6,"B",28,1,12,0,12,12,28,336,336,5.29,NA
"Bendering","B.Hygl.E7","E","Hypochaeris.glabra",7,"R",48,1,7,0,7,7,48,336,336,5.41,NA
"Bendering","B.Hygl.E7","E","Hypochaeris.glabra",7,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,NA
"Bendering","B.Hygl.E7","E","Hypochaeris.glabra",7,"B",20,1,4,0,4,4,20,80,80,5.41,NA
"Bendering","B.Hygl.E8","E","Hypochaeris.glabra",8,"R",31,1,11,0,11,11,31,341,341,5.35,NA
"Bendering","B.Hygl.E8","E","Hypochaeris.glabra",8,"G",17,1,3,0,3,3,17,51,51,5.35,NA
"Bendering","B.Hygl.E8","E","Hypochaeris.glabra",8,"B",33,1,8,1,9,9,33,297,297,5.35,NA
"Bendering","B.Hygl.E9","E","Hypochaeris.glabra",9,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA
"Bendering","B.Hygl.E9","E","Hypochaeris.glabra",9,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA
"Bendering","B.Hygl.E9","E","Hypochaeris.glabra",9,"B",51,1,9,0,9,9,51,459,459,5.1,NA
"Bendering","B.Hygl.E10","E","Hypochaeris.glabra",10,"R",28,1,7,0,7,7,28,196,196,5.59,NA
"Bendering","B.Hygl.E10","E","Hypochaeris.glabra",10,"G",15,1,2,0,2,2,15,30,30,5.59,NA
"Bendering","B.Hygl.E10","E","Hypochaeris.glabra",10,"B",38,1,10,0,10,10,38,380,380,5.59,NA
"Bendering","B.Hygl.E11","E","Hypochaeris.glabra",11,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38,NA
